SSN_ID,ID_Name,ID_Class
101,제비,동물
102,뱀,동물
103,개구리,동물
104,나비,동물
105,잠자리,동물
106,종다리,동물
107,뻐꾸기,동물
108,매미,동물
109,기러기,동물
201,코스모스,식물(꽃)
202,매화,식물(꽃)
203,개나리,식물(꽃)
204,진달래,식물(꽃)
205,벚나무,식물(꽃)
206,아까시나무,식물(꽃)
207,복숭아,식물(꽃)
208,배나무,식물(꽃)
301,은행나무,식물(단풍)
302,단풍나무,식물(단풍)
401,서리,기후
402,얼음,기후
403,눈,기후
404,관설,기후
405,강하전,기후
501,유명산 단풍,식물
502,해수욕장,생활
503,군락단지,식물
