date,stn_id,rain_dur,rain_d99,rain_yn
20250102,235,-9.0,-9.0,False
20250102,236,-9.0,-9.0,False
20250102,238,-9.0,-9.0,False
20250102,239,-9.0,-9.0,False
20250102,243,-9.0,-9.0,False
20250102,244,-9.0,-9.0,False
20250102,245,-9.0,-9.0,False
20250102,247,-9.0,-9.0,False
20250102,248,-9.0,-9.0,False
20250102,251,-9.0,-9.0,False
20250102,252,-9.0,-9.0,False
20250102,253,-9.0,-9.0,False
20250102,254,-9.0,-9.0,False
20250102,255,-9.0,-9.0,False
20250102,257,-9.0,-9.0,False
20250102,258,-9.0,-9.0,False
20250102,259,-9.0,-9.0,False
20250102,260,-9.0,-9.0,False
20250102,261,-9.0,-9.0,False
20250102,262,-9.0,-9.0,False
20250102,263,-9.0,-9.0,False
20250102,264,-9.0,-9.0,False
20250102,266,-9.0,-9.0,False
20250102,268,-9.0,-9.0,False
20250102,271,-9.0,-9.0,False
20250102,272,-9.0,-9.0,False
20250102,273,-9.0,-9.0,False
20250102,276,-9.0,-9.0,False
20250102,277,-9.0,-9.0,False
20250102,278,-9.0,-9.0,False
20250102,279,-9.0,-9.0,False
20250102,281,-9.0,-9.0,False
20250102,283,-9.0,-9.0,False
20250102,284,-9.0,-9.0,False
20250102,285,-9.0,-9.0,False
20250102,288,-9.0,-9.0,False
20250102,289,-9.0,-9.0,False
20250102,294,-9.0,-9.0,False
20250102,295,-9.0,-9.0,False
20250102,296,-9.0,-9.0,False
20250103,90,-9.0,-9.0,False
20250103,93,-9.0,-9.0,False
20250103,95,-9.0,-9.0,False
20250103,98,-9.0,-9.0,False
20250103,99,-9.0,-9.0,False
20250103,100,-9.0,-9.0,False
20250103,101,-9.0,-9.0,False
20250103,102,1.25,-9.0,True
20250103,104,-9.0,-9.0,False
20250103,105,-9.0,-9.0,False
20250103,106,-9.0,-9.0,False
20250103,108,0.5,0.0,True
20250103,112,0.42,0.0,True
20250103,114,-9.0,-9.0,False
20250103,115,14.42,2.0,True
20250103,119,2.52,0.4,True
20250103,121,-9.0,-9.0,False
20250103,127,-9.0,-9.0,False
20250103,129,-9.0,0.7,True
20250103,130,-9.0,-9.0,False
20250103,131,0.83,0.0,True
20250103,133,0.67,0.0,True
20250103,135,-9.0,-9.0,False
20250103,136,-9.0,-9.0,False
20250103,137,-9.0,-9.0,False
20250103,138,-9.0,-9.0,False
20250103,140,-9.0,-9.0,False
20250103,143,-9.0,-9.0,False
20250103,146,3.42,0.1,True
20250103,152,-9.0,-9.0,False
20250103,155,-9.0,-9.0,False
20250103,156,-9.0,-9.0,False
20250103,159,-9.0,-9.0,False
20250103,162,-9.0,-9.0,False
20250103,165,-9.0,0.0,False
20250103,168,-9.0,-9.0,False
20250103,169,0.4,-9.0,True
20250103,170,-9.0,-9.0,False
20250103,172,-9.0,-9.0,False
20250103,174,-9.0,-9.0,False
20250103,177,3.75,0.8,True
20250103,181,-9.0,-9.0,False
20250103,184,-9.0,-9.0,False
20250103,185,-9.0,-9.0,False
20250103,188,-9.0,-9.0,False
20250103,189,-9.0,-9.0,False
20250103,192,-9.0,-9.0,False
20250103,201,-9.0,-9.0,False
20250103,202,-9.0,-9.0,False
20250103,203,-9.0,-9.0,False
20250103,211,-9.0,-9.0,False
20250103,212,-9.0,-9.0,False
20250103,216,-9.0,-9.0,False
20250103,217,-9.0,-9.0,False
20250103,221,-9.0,-9.0,False
20250103,226,-9.0,-9.0,False
20250103,232,-9.0,-9.0,False
20250103,235,-9.0,-9.0,False
20250103,236,-9.0,-9.0,False
20250103,238,-9.0,-9.0,False
20250103,239,-9.0,-9.0,False
20250103,243,-9.0,-9.0,False
20250103,244,-9.0,-9.0,False
20250103,245,-9.0,-9.0,False
20250103,247,-9.0,-9.0,False
20250103,248,-9.0,-9.0,False
20250103,251,-9.0,-9.0,False
20250103,252,-9.0,-9.0,False
20250103,253,-9.0,-9.0,False
20250103,254,-9.0,-9.0,False
20250103,255,-9.0,-9.0,False
20250103,257,-9.0,-9.0,False
20250103,258,-9.0,-9.0,False
20250103,259,-9.0,-9.0,False
20250103,260,-9.0,-9.0,False
20250103,261,-9.0,-9.0,False
20250103,262,-9.0,-9.0,False
20250103,263,-9.0,-9.0,False
20250103,264,-9.0,-9.0,False
20250103,266,-9.0,-9.0,False
20250103,268,-9.0,-9.0,False
20250103,271,-9.0,-9.0,False
20250103,272,-9.0,-9.0,False
20250103,273,-9.0,-9.0,False
20250103,276,-9.0,-9.0,False
20250103,277,-9.0,-9.0,False
20250103,278,-9.0,-9.0,False
20250103,279,-9.0,-9.0,False
20250103,281,-9.0,-9.0,False
20250103,283,-9.0,-9.0,False
20250103,284,-9.0,-9.0,False
20250103,285,-9.0,-9.0,False
20250103,288,-9.0,-9.0,False
20250103,289,-9.0,-9.0,False
